code,name,period,submit_date,net_sales,net_sales_prev,inventories,inventories_prev,net_income,net_income_prev,operating_cf,operating_cf_prev,cash,cash_prev,debt,debt_prev,net_assets,net_assets_prev
9731,株式会社白洋舍,2024-12-31,2025-03-27T13:17:00,43580000000.0,43272000000.0,,,2259000000.0,1951000000.0,2922000000.0,1566000000.0,,,,,,
8591,オリックス株式会社,2025-03-31,2025-06-24T10:10:00,554076000000.0,454809000000.0,,,221238000000.0,146690000000.0,,,,,,,,
9765,株式会社オオバ,2025-05-31,2025-08-25T13:42:00,18096690000.0,16485974000.0,,,1334261000.0,1339462000.0,-510393000.0,-346421000.0,,,,,,
8584,株式会社ジャックス,2025-03-31,2025-06-24T12:12:00,190978000000.0,184782000000.0,,,17813000000.0,24090000000.0,-45170000000.0,-98024000000.0,,,,,,
9735,セコム株式会社,2025-03-31,2025-06-25T15:33:00,1199942000000.0,1154740000000.0,,,125306000000.0,114204000000.0,167842000000.0,165760000000.0,,,,,,
8585,株式会社オリエントコーポレーション,2025-03-31,2025-06-20T10:13:00,245270000000.0,229054000000.0,,,13493000000.0,12551000000.0,2619000000.0,-43465000000.0,,,,,,
9763,丸建リース株式会社,2025-03-31,2025-06-18T11:59:00,22807000000.0,21325000000.0,,,1202000000.0,1166000000.0,24000000.0,335000000.0,,,,,,
8179,ロイヤルホールディングス株式会社,2024-12-31,2025-03-27T09:19:00,152150000000.0,138940000000.0,,,5900000000.0,4035000000.0,10364000000.0,12536000000.0,,,,,,
8181,株式会社東天紅,2025-02-28,2025-05-23T11:53:00,4710603000.0,,,,430072000.0,,726774000.0,,,,,,,
8593,三菱ＨＣキャピタル株式会社,2025-03-31,2025-06-25T14:07:00,2090808000000.0,1950583000000.0,,,135641000000.0,124663000000.0,-296884000000.0,-49128000000.0,,,,,,
9768,いであ株式会社,2024-12-31,2025-03-27T15:58:00,24310486000.0,22698846000.0,,,2375696000.0,1989512000.0,4005658000.0,-160001000.0,,,,,,
9769,株式会社学究社,2025-03-31,2025-06-27T16:45:00,13289916000.0,13198208000.0,,,1862870000.0,1827382000.0,2246025000.0,2199217000.0,,,,,,
9740,セントラル警備保障株式会社,2025-02-28,2025-05-30T10:26:00,71417635000.0,,,,3498254000.0,,2938982000.0,,,,,,,
9761,東海リース株式会社,2025-03-31,2025-06-26T10:22:00,18397791000.0,17175795000.0,,,1075844000.0,684258000.0,1028372000.0,1191335000.0,,,,,,
8594,中道リース株式会社,2024-12-31,2025-03-26T13:25:00,49540252000.0,43176624000.0,,,1234492000.0,748316000.0,821394000.0,-5197941000.0,,,,,,
9742,株式会社アイネス,2025-03-31,2025-06-25T13:20:00,40563000000.0,40557000000.0,,,2436000000.0,1795000000.0,1478000000.0,2142000000.0,,,,,,
9744,株式会社メイテックグループホールディングス,2025-03-31,2025-06-18T10:30:00,133068000000.0,126976000000.0,,,12740000000.0,12343000000.0,13448000000.0,14667000000.0,,,,,,
